Year,Company Name,Type of Breach,Records Compromised,Financial Loss,Impact Level,Industry,Human Error Factor,Human Error Factor Code,Mitigation Measures
2003,HP,Insider Threat,684226,436185.207,Medium,Technology,Unintentional Info Leak ,1,Access Controls
2018,Facebook,Physical Breach,289946,1036712.876,Medium,Technology,Improper Disposal ,2,Access Controls
2017,Target,Insider Threat,188401,2469034.317,High,Retail,Weak Password Management,5,Data Encryption
2018,Home Depot,DDoS Attack,740764,2045959.209,Medium,Retail,Phishing Attack,4,Regular Security Training
2014,DOD,Phishing,225875,2003786.087,High,Government,Phishing Attack,4,Regular Audits
2022,Best Buy,Malware,409004,1436217.513,Low,Retail,Insider Threat,3,Regular Security Training
2015,UPMC,Insider Threat,93422,1546994.971,Medium,Healthcare,Insider Threat,3,Regular Audits
2001,Tenet Healthcare,Insider Threat,644789,2454352.793,Medium,Healthcare,Weak Password Management,5,Two-factor Authentication
2024,Home Depot,Password Guessing,519382,2551026.717,Medium,Retail,Weak Password Management,5,Data Encryption
2006,Treasury Department,DDoS Attack,629636,1511230.999,High,Government,Insider Threat,3,Regular Security Training
2021,Tenet Healthcare,Ransomware,251878,2476590.28,Critical,Healthcare,Weak Password Management,5,Data Encryption
2024,Facebook,Ransomware,703191,500137.2777,High,Technology,Unintentional Info Leak ,1,Two-factor Authentication
2023,USPS,Phishing,577289,479871.4663,Critical,Government,Unintentional Info Leak ,1,Data Encryption
2011,Home Depot,Malware,636818,1949954.097,High,Retail,Phishing Attack,4,Regular Audits
2000,Bank of America,Malware,427911,480649.4919,High,Finance,Unintentional Info Leak ,1,Data Encryption
2010,Lowe's,DDoS Attack,539220,1047954.816,Critical,Retail,Improper Disposal ,2,Data Encryption
2022,HP,Insider Threat,591525,1943250.139,Medium,Technology,Phishing Attack,4,Access Controls
2021,Kaiser Permanente,Physical Breach,904896,1422503.289,Medium,Healthcare,Insider Threat,3,Access Controls
2020,Target,Password Guessing,736236,917203.3855,Medium,Retail,Improper Disposal ,2,Regular Audits
2017,Best Buy,Password Guessing,873600,2536837.652,Medium,Retail,Weak Password Management,5,Data Encryption
2002,DOE,Malware,500704,948653.7673,Medium,Government,Improper Disposal ,2,Data Encryption
2005,Tenet Healthcare,Insider Threat,773918,1007025.229,High,Healthcare,Improper Disposal ,2,Regular Security Training
2007,Morgan Stanley,DDoS Attack,262824,1401095.683,Medium,Finance,Insider Threat,3,Two-factor Authentication
2002,HP,Physical Breach,7945,2490284.609,High,Technology,Weak Password Management,5,Access Controls
2011,Microsoft,Insider Threat,942748,517552.3696,Critical,Technology,Unintentional Info Leak ,1,Access Controls
2005,Capital One,Ransomware,418206,517352.5996,High,Finance,Unintentional Info Leak ,1,Regular Audits
2013,CIA,Physical Breach,35144,1007219.411,Medium,Government,Improper Disposal ,2,Access Controls
